ERROR   (2010-03-11) 20:40.24:349   [core.manager.fop] (/installation/index.pdf) PoolThread-0/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:40.24:350   [core.manager.fop] (/installation/index.pdf) PoolThread-0/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:40.24:350   [core.manager.fop] (/installation/index.pdf) PoolThread-0/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:40.24:350   [core.manager.fop] (/installation/index.pdf) PoolThread-0/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:40.24:351   [core.manager.fop] (/installation/index.pdf) PoolThread-0/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:40.24:351   [core.manager.fop] (/installation/index.pdf) PoolThread-0/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:40.24:351   [core.manager.fop] (/installation/index.pdf) PoolThread-0/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:40.24:351   [core.manager.fop] (/installation/index.pdf) PoolThread-0/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:40.24:352   [core.manager.fop] (/installation/index.pdf) PoolThread-0/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:59.33:561   [core.manager.fop] (/installation/index.pdf) PoolThread-4/MessageHandler: Error in space-after property value '6pt"': org.apache.fop.fo.expr.PropertyException: missing quote
ERROR   (2010-03-11) 20:59.33:569   [core.manager.fop] (/installation/index.pdf) PoolThread-4/MessageHandler: Error in space-after property value '6pt"': org.apache.fop.fo.expr.PropertyException: missing quote
ERROR   (2010-03-11) 20:59.33:579   [core.manager.fop] (/installation/index.pdf) PoolThread-4/MessageHandler: Error in space-after property value '6pt"': org.apache.fop.fo.expr.PropertyException: missing quote
ERROR   (2010-03-11) 20:59.33:582   [core.manager.fop] (/installation/index.pdf) PoolThread-4/MessageHandler: unknown font sans,normal,normal so defaulted font to any
ERROR   (2010-03-11) 20:59.33:582   [core.manager.fop] (/installation/index.pdf) PoolThread-4/MessageHandler: unknown font sans,normal,normal so defaulted font to any
